opis_id,name,address,city,state,lat,lon,price_per_gallon,geocode_source
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,42.28647,-85.57871,3.099,city_centroid
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw,MI,42.099526023842,-86.089076185904,3.559,census
1217,KWIK TRIP #250,"I-90, EXIT 179",Austin,MN,43.6695,-92.9784,3.374,city_centroid
1218,CASEYS #3658,SR-210,Pillager,MN,46.3607,-94.4895,3.299,city_centroid
1225,AYERCO #35,US-61 & US-61 BUS,Bowling Green,MO,39.34149024512,-91.202752249815,3.01566666,census
1234,Lamar Travel Plaza,US-71 & US-160,Lamar,MO,37.494032326194,-94.311774579372,3.199,census
1236,AYERCO #44,US-36 & US-24,Palmyra,MO,39.7913,-91.5368,3.01566666,city_centroid
1240,TEMP STOP #103,US-65,Sedalia,MO,38.7003,-93.2303,3.199,city_centroid
1247,SNAPPY MART #11,US-63 & SR-14,West Plains,MO,36.7284,-91.8717,3.299,city_centroid
1251,MAPCO #3009,US-72,Corinth,MS,34.8982,-88.5567,3.154,city_centroid
1256,DOUBLE QUICK #89,US-82/US-278,Greenville,MS,33.3666,-90.99568,3.25566666,city_centroid
1265,JOE JOES TRAVEL CENTER,US-78 & RED BANKS RD S,Red Banks,MS,34.83340454945,-89.564652964774,2.97233333,census
1304,LOVES TRAVEL STOP #667,"I-85, EXIT 152",Mebane,NC,36.0979,-79.2719,3.94733333,city_centroid
1315,CIRCLE K #2720218,US-421 BUS & US-15/US-501/US-1,Sanford,NC,35.46553,-79.16333,3.08233333,city_centroid
1325,SCOTCHMAN #3303,US-421 & US-74,Wilmington,NC,34.19979,-77.8864,3.629,city_centroid
1326,SPEEDWAY #7949,US-301/US-264 ALT & CR-1674,Wilson,NC,35.73355,-77.93167,3.199,city_centroid
1333,PUMP & PANTRY #15,US-30,Grand Island,NE,40.90767,-98.41017,3.30733333,city_centroid
1340,BORDENTOWN VALERO,"NJ TNPK, EXIT 7 & US-206",Bordentown,NJ,40.1431,-74.7032,3.499,city_centroid
1342,Delta,"I-80, EXIT 47B",Fairfield,NJ,40.8822,-74.296,3.20233333,city_centroid
1344,BOLLA TRUCK STOP #193,US-202 & SR-17,Mahwah,NJ,41.0928,-74.17525,3.53233333,city_centroid
1348,GLOBAL,SR-73,Palmyra,NJ,40.0037,-75.0257,3.359,city_centroid
1356,LOVES TRAVEL STOP #257,"I-40 & HORIZON, EXIT 79",Milan,NM,35.1698,-107.8909,3.59066666,city_centroid
1364,7- ELEVEN #40507,"I-80/I-90, MM 56 WB",Rolling Prairie,IN,41.7229,-86.5841,3.98233333,city_centroid
1372,PILOT TRAVEL CENTER #469,"I-77, EXIT 101 & SR-627",Canton,OH,40.81477,-81.3829,3.62233333,city_centroid
1376,FUEL MART #782,"I-75, EXIT 118",Lima,OH,40.74733,-84.12225,3.08566666,city_centroid
1379,TA LODI TRAVEL CENTER,"I-71, EXIT 209 & I-76/US-224, EXIT 1",Seville,OH,41.0227,-81.8562,3.739,city_centroid
1384,SUNOCO,"I-80/I-90, EXIT 13 & US-20ALT/SR-15",Montpelier,OH,41.5982,-84.6147,3.41566666,city_centroid
1391,ONCUE EXPRESS #2045,"I-35, EXIT 203 & SR-15",Billings,OK,36.5246,-97.4189,3.21566666,city_centroid
1395,DOMINO FOOD AND FUEL #1,"I-40, EXIT 66",Clinton,OK,35.5115,-98.9795,3.099,city_centroid
1404,ONE9 #339,"I-74, EXIT 4 & SR-63",Covington,IN,40.1326,-87.3819,3.26233333,city_centroid
1414,SAC SHOP #507,"I-70, EXIT 12/161",Breezewood,PA,39.9905,-78.2453,4.099,city_centroid
1424,GETTYSBURG TRAVEL PLAZA,US-15 & SR-394,Gettysburg,PA,39.832,-77.2223,3.899,city_centroid
1428,CIRCLE K #4702408,"I-65, EXIT 168 & SR-38/SR-25",Lafayette,IN,40.37688,-86.8716,3.43233333,city_centroid
1432,KWIK FILL #259,"I-81, EXIT 57",Mechanicsburg,PA,40.1956,-77.01505,4.049,city_centroid
1444,PILOT TRAVEL CENTERS #346,"I-20, EXIT 92 & US-601",Lugoff,SC,34.221408581111,-80.684692126312,3.43233333,census
1445,PILOT TRAVEL CENTERS #402,"I-80, EXIT 367",Cheyenne,WY,41.15185,-104.7939,3.709,city_centroid
1447,HOT SPOT #3005,US-221,Chesnee,SC,35.1154,-81.8678,3.199,city_centroid
1453,EXPRESS STOP,US-278/SR-101/SR-6 & SR-113,Rockmart,GA,33.9979,-85.0594,3.319,city_centroid
1455,PETRO FLORENCE,"I-95, EXIT 169",Florence,SC,34.13797,-79.70625,3.32566666,city_centroid
1461,CIRCLE K #2705370,"I-26, EXIT 15 & US-176",Inman,SC,35.0528,-82.054,3.099,city_centroid
1464,CIRCLE K #2723254,"I-20, EXIT 55 & SR-6",Lexington,SC,33.93903,-81.23573,3.199,city_centroid
1470,CIRCLE K #2705348,US-1,Beech Island,SC,33.4707,-81.8639,3.159,city_centroid
1479,TA SPARTANBURG TRAVEL CENTER,"I-85, EXIT 63 & SR-290",Duncan,SC,34.9176,-82.1258,3.43233333,city_centroid
1487,ROADRUNNER MARKET #6019,"I-81, EXIT 36 NORTH",Greeneville,TN,36.1818,-82.84927,3.499,city_centroid
1492,MAPCO #3538,"I-24, EXIT 174",Chattanooga,TN,35.04139,-85.28351,2.899,city_centroid
1507,CIRCLE K #4703941,"I-55, EXIT 5A",Memphis,TN,35.15984,-89.96925,3.189,city_centroid
1516,LOVES TRAVEL STOP #261,I-27 EXIT 116,Amarillo,TX,35.25345,-101.86566,3.23233333,city_centroid
1531,CircleK #4702365,"I-74, EXIT 112 & SR-9",Shelbyville,IN,39.5043,-85.7875,3.509,city_centroid
1533,YESWAY #1157,US-62,Brownfield,TX,33.1698,-102.2762,2.99233333,city_centroid
1546,SHELL,"I-35, EXIT 86 & SR-85",Dilley,TX,28.6782,-99.1747,3.099,city_centroid
1548,TOOT N TOTUM #107,US-287,Dumas,TX,35.8823,-101.968,3.03233333,city_centroid
1552,STRIPES #40911,US-59 & SR-16,Freer,TX,27.88,-98.6061,3.099,city_centroid
1555,SEIBERT TRAVEL PLAZA,"I-70, EXIT 405 & SR-59",Seibert,CO,39.3183,-102.8822,3.499,city_centroid
1560,CATTREZ,US-20 & SR-5,Irving,NY,42.5739,-79.0596,2.899,city_centroid
1562,I MART #108,"I-40, EXIT 108",Wildersville,TN,35.7698,-88.4388,3.099,city_centroid
1567,KUM & GO #4110,"I-235, EXIT 11",Des Moines,IA,41.65028,-93.58605,3.02733333,city_centroid
1579,FLYING J TRAVEL PLAZA #924- TOWN PUMP,"I-15, EXIT 122 & I-90 MM220",Butte,MT,45.96312,-112.62496,3.56566666,city_centroid
1582,LOVES TRAVEL STOP #250,I-40 EXIT 60,Amarillo,TX,35.25345,-101.86566,3.314,city_centroid
1585,Stripes 7Fleet #42498,US-385 & CR-1910,Andrews,TX,32.3201,-102.5409,3.369,city_centroid
1590,ROAD RANGER #240,"I-80 & I-94, EXIT 15-A",Lake Station,IN,41.5686,-87.2622,3.559,city_centroid
