city,state,lat,lng
apple valley,CA,34.49945,-117.20295
applegate,CA,39.0007,-120.9924
applegate,MI,43.3619,-82.6479
appleton,MN,45.2054,-95.9949
appleton,NY,43.3105,-78.6372
appleton,WA,45.8504,-121.3129
appleton,WI,44.32817,-88.42512
appleton city,MO,38.1848,-94.0229
appling,GA,33.6271,-82.2856
appomattox,VA,37.353,-78.8224
aptos,CA,36.97935,-121.8941
apulia station,NY,42.8187,-76.0724
aquasco,MD,38.5825,-76.7149
aquashicola,PA,40.8133,-75.592
aquebogue,NY,40.9445,-72.627
aquilla,TX,31.8589,-97.2258
arab,AL,34.3283,-86.4896
arabi,GA,31.8496,-83.7277
arabi,LA,29.9612,-89.9965
aragon,GA,34.0666,-85.0696
aragon,NM,33.8859,-108.5466
aransas pass,TX,27.911,-97.17375
arapaho,OK,35.5789,-98.9595
arapahoe,CO,38.8417,-102.194
arapahoe,NC,35.0055,-76.8149
